version,window_years,start,end,cagr,sharpe,volatility,max_drawdown,avg_bil_weight
ensemble_risk_balanced,3,2011-09-29,2014-10-01,0.01725977523663902,0.4268161287339834,0.04217768270210854,-0.05284435571546653,0.3523674742384938
ensemble_risk_balanced,3,2011-10-28,2014-10-30,0.020069776837649655,0.4949628276893779,0.04192268394170686,-0.05284435571546642,0.3526391927365903
ensemble_risk_balanced,3,2011-11-29,2014-12-01,0.019877243815328516,0.4945405814754647,0.04154493939204598,-0.05284435571546642,0.351826223648873
ensemble_risk_balanced,3,2011-12-29,2014-12-31,0.022684453744398203,0.5592992380733516,0.0416580991155073,-0.05284435571546575,0.3518760443139758
ensemble_risk_balanced,3,2012-01-31,2015-02-02,0.02596319756147114,0.6355212987929857,0.041701768087027344,-0.052844355715466085,0.3533681037992316
ensemble_risk_balanced,3,2012-03-01,2015-03-04,0.01737209823629504,0.4290236622560958,0.042222930975518776,-0.05284435571546642,0.35681644227333054
ensemble_risk_balanced,3,2012-03-30,2015-04-02,0.022220134011598613,0.5276033987152177,0.04344390753397945,-0.05284435571546631,0.35963750733203664
ensemble_risk_balanced,3,2012-05-01,2015-05-04,0.018710338124583448,0.45754773740558685,0.04248846284775578,-0.05284435571546642,0.3574191820247894
ensemble_risk_balanced,3,2012-05-31,2015-06-03,0.024021351369745814,0.5769507241573489,0.042726329451443425,-0.05284435571546631,0.35777996362906683
ensemble_risk_balanced,3,2012-06-29,2015-07-02,0.021142893169188826,0.509686259428232,0.042852275613970585,-0.05284435571546642,0.3569825609927969
ensemble_risk_balanced,3,2012-07-31,2015-08-03,0.01651296988172435,0.40230550775301865,0.04301031000641186,-0.052844355715466196,0.36485355260765273
ensemble_risk_balanced,3,2012-08-29,2015-09-01,0.011107199952182345,0.27391759195555987,0.043833000050517476,-0.06250111687791504,0.3725261104955278
ensemble_risk_balanced,3,2012-09-28,2015-10-01,0.009043926838782301,0.22899508995399312,0.04343576088080739,-0.06250111687791393,0.3892526414752497
ensemble_risk_balanced,3,2012-10-31,2015-10-30,0.014644335708558165,0.3580929226323675,0.043205953849792735,-0.06250111687791449,0.40105237271982735
ensemble_risk_balanced,3,2012-11-30,2015-12-01,0.011253870534701171,0.28174545274937235,0.04300245217223044,-0.06981044812913662,0.40325466125454584
ensemble_risk_balanced,3,2013-01-02,2015-12-31,0.00609285342745447,0.16160344310477395,0.043421552810621364,-0.07008256280371661,0.4079113799606422
ensemble_risk_balanced,3,2013-02-01,2016-02-02,0.0034623615371143224,0.10088928845321192,0.04373957672091038,-0.07657346918635832,0.4154989021784473
ensemble_risk_balanced,3,2013-03-05,2016-03-03,0.007927804862038368,0.20365433617882353,0.04339809534704346,-0.07657346918635821,0.4201766920780208
ensemble_risk_balanced,3,2013-04-04,2016-04-04,0.007684480269895211,0.19736288185533407,0.04360320453540524,-0.07657346918635832,0.4174339616260833
ensemble_risk_balanced,3,2013-05-03,2016-05-03,0.0016761760292764993,0.06038250743638067,0.04315280912963374,-0.07657346918635821,0.41102678919157987
ensemble_risk_balanced,3,2013-06-04,2016-06-02,0.011853645835277371,0.29764911856837545,0.04264513403047196,-0.07657346918635943,0.40951650458374966
ensemble_risk_balanced,3,2013-07-03,2016-07-01,0.024655809083376834,0.6128605504769762,0.04112348611797866,-0.07657346918635821,0.4012545912284477
ensemble_risk_balanced,3,2013-08-02,2016-08-02,0.02022062216510845,0.5011645835213114,0.04167820151195431,-0.07657346918635832,0.3851548847768247
