signal_date,execution_date,symbol,weight
2017-12-29,2018-01-02,A,0.025
2017-12-29,2018-01-02,AAPL,0.025
2017-12-29,2018-01-02,CSX,0.025
2017-12-29,2018-01-02,DE,0.025
2017-12-29,2018-01-02,ALGN,0.025
2017-12-29,2018-01-02,AMZN,0.025
2017-12-29,2018-01-02,AMT,0.025
2017-12-29,2018-01-02,ALB,0.025
2017-12-29,2018-01-02,AXP,0.025
2017-12-29,2018-01-02,ADSK,0.025
2017-12-29,2018-01-02,CCI,0.025
2017-12-29,2018-01-02,APTV,0.025
2017-12-29,2018-01-02,BAX,0.025
2017-12-29,2018-01-02,CAT,0.025
2017-12-29,2018-01-02,AVGO,0.025
2017-12-29,2018-01-02,BA,0.025
2017-12-29,2018-01-02,CBOE,0.025
2017-12-29,2018-01-02,DHI,0.025
2017-12-29,2018-01-02,ABBV,0.025
2017-12-29,2018-01-02,CDNS,0.025
2017-12-29,2018-01-02,CBRE,0.025
2017-12-29,2018-01-02,AMAT,0.025
2017-12-29,2018-01-02,BBY,0.025
2017-12-29,2018-01-02,BDX,0.025
2017-12-29,2018-01-02,DLTR,0.025
2017-12-29,2018-01-02,BLK,0.025
2017-12-29,2018-01-02,APH,0.025
2017-12-29,2018-01-02,CTAS,0.025
2017-12-29,2018-01-02,BF-B,0.025
2017-12-29,2018-01-02,AOS,0.025
2018-01-31,2018-02-01,AMP,0.025
2018-01-31,2018-02-01,CNC,0.025
2018-01-31,2018-02-01,CI,0.025
2018-01-31,2018-02-01,AVY,0.025
2018-01-31,2018-02-01,ADBE,0.025
2018-01-31,2018-02-01,ALL,0.025
2018-01-31,2018-02-01,ABT,0.025
2018-01-31,2018-02-01,BF-B,0.025
2018-01-31,2018-02-01,AME,0.025
2018-01-31,2018-02-01,A,0.025
2018-01-31,2018-02-01,AAPL,0.025
2018-01-31,2018-02-01,DE,0.025
2018-01-31,2018-02-01,AMT,0.025
2018-01-31,2018-02-01,ALGN,0.025
2018-01-31,2018-02-01,AMZN,0.025
2018-01-31,2018-02-01,DLTR,0.025
2018-01-31,2018-02-01,ALB,0.025
2018-01-31,2018-02-01,BLK,0.025
2018-01-31,2018-02-01,AXP,0.025
2018-01-31,2018-02-01,CCI,0.025
2018-01-31,2018-02-01,APTV,0.025
2018-01-31,2018-02-01,APH,0.025
2018-01-31,2018-02-01,BAX,0.025
2018-01-31,2018-02-01,BBY,0.025
2018-01-31,2018-02-01,CAT,0.025
2018-01-31,2018-02-01,AVGO,0.025
2018-01-31,2018-02-01,BA,0.025
2018-01-31,2018-02-01,CBOE,0.025
2018-01-31,2018-02-01,DHI,0.025
2018-01-31,2018-02-01,CTAS,0.025
2018-01-31,2018-02-01,ABBV,0.025
2018-01-31,2018-02-01,CDNS,0.025
2018-01-31,2018-02-01,CBRE,0.025
2018-01-31,2018-02-01,AMAT,0.025
2018-01-31,2018-02-01,ACN,0.025
2018-01-31,2018-02-01,CTSH,0.025
2018-01-31,2018-02-01,C,0.025
2018-01-31,2018-02-01,DRI,0.025
2018-01-31,2018-02-01,DOV,0.025
2018-01-31,2018-02-01,BAC,0.025
2018-02-28,2018-03-01,AMP,0.025
2018-02-28,2018-03-01,CNC,0.025
2018-02-28,2018-03-01,CI,0.025
2018-02-28,2018-03-01,AVY,0.025
2018-02-28,2018-03-01,C,0.025
2018-02-28,2018-03-01,DRI,0.025
2018-02-28,2018-03-01,ADBE,0.025
2018-02-28,2018-03-01,DOV,0.025
2018-02-28,2018-03-01,BAC,0.025
2018-02-28,2018-03-01,ABT,0.025
2018-02-28,2018-03-01,ACN,0.025
2018-02-28,2018-03-01,BF-B,0.025
2018-02-28,2018-03-01,AME,0.025
2018-02-28,2018-03-01,A,0.025
2018-02-28,2018-03-01,DE,0.025
2018-02-28,2018-03-01,ALGN,0.025
2018-02-28,2018-03-01,AMZN,0.025
2018-02-28,2018-03-01,BLK,0.025
2018-02-28,2018-03-01,APTV,0.025
2018-02-28,2018-03-01,APH,0.025
2018-02-28,2018-03-01,BAX,0.025
2018-02-28,2018-03-01,BBY,0.025
2018-02-28,2018-03-01,CAT,0.025
2018-02-28,2018-03-01,BA,0.025
2018-02-28,2018-03-01,CBOE,0.025
2018-02-28,2018-03-01,DHI,0.025
2018-02-28,2018-03-01,CTAS,0.025
2018-02-28,2018-03-01,ABBV,0.025
2018-02-28,2018-03-01,CDNS,0.025
2018-02-28,2018-03-01,CTSH,0.025
2018-02-28,2018-03-01,DLTR,0.025
2018-02-28,2018-03-01,AMAT,0.025
2018-02-28,2018-03-01,DG,0.025
2018-02-28,2018-03-01,CRM,0.025
2018-02-28,2018-03-01,CF,0.025
2018-02-28,2018-03-01,BDX,0.025
2018-02-28,2018-03-01,ADSK,0.025
2018-02-28,2018-03-01,AOS,0.025
2018-02-28,2018-03-01,CME,0.025
2018-02-28,2018-03-01,CMI,0.025
2018-03-29,2018-04-02,CF,0.025
2018-03-29,2018-04-02,CNC,0.025
2018-03-29,2018-04-02,CI,0.025
2018-03-29,2018-04-02,AVY,0.025
2018-03-29,2018-04-02,C,0.025
2018-03-29,2018-04-02,ADBE,0.025
2018-03-29,2018-04-02,CRM,0.025
2018-03-29,2018-04-02,DOV,0.025
2018-03-29,2018-04-02,BAC,0.025
2018-03-29,2018-04-02,ABT,0.025
2018-03-29,2018-04-02,ACN,0.025
2018-03-29,2018-04-02,BF-B,0.025
2018-03-29,2018-04-02,AME,0.025
2018-03-29,2018-04-02,A,0.025
2018-03-29,2018-04-02,DE,0.025
2018-03-29,2018-04-02,ALGN,0.025
2018-03-29,2018-04-02,AMZN,0.025
2018-03-29,2018-04-02,DG,0.025
2018-03-29,2018-04-02,BLK,0.025
2018-03-29,2018-04-02,ADSK,0.025
2018-03-29,2018-04-02,AOS,0.025
2018-03-29,2018-04-02,APTV,0.025
2018-03-29,2018-04-02,APH,0.025
2018-03-29,2018-04-02,BAX,0.025
2018-03-29,2018-04-02,BBY,0.025
2018-03-29,2018-04-02,CAT,0.025
2018-03-29,2018-04-02,BA,0.025
2018-03-29,2018-04-02,CBOE,0.025
2018-03-29,2018-04-02,DHI,0.025
2018-03-29,2018-04-02,CTAS,0.025
2018-03-29,2018-04-02,CME,0.025
2018-03-29,2018-04-02,ABBV,0.025
2018-03-29,2018-04-02,CTSH,0.025
2018-03-29,2018-04-02,DLTR,0.025
2018-03-29,2018-04-02,AMAT,0.025
2018-03-29,2018-04-02,CSCO,0.025
2018-03-29,2018-04-02,CBRE,0.025
2018-03-29,2018-04-02,CFG,0.025
2018-03-29,2018-04-02,AFL,0.025
2018-03-29,2018-04-02,AXP,0.025
