date,gross_return,cost,net_return,n_holdings,exposure,equity_gross,equity_net
2024-10-23,-0.0012098791088989728,0.0,-0.0012098791088989728,40,1.0,4.562646563035254,4.53711869133391
2024-10-24,-0.0037890815015156785,0.0,-0.0037890815015156785,40,1.0,4.545358323345303,4.519927178830395
2024-10-25,-0.006656012126707677,0.0,-0.006656012126707677,40,1.0,4.515104363224885,4.489842488716264
2024-10-28,0.0038626049877403534,0.0,0.0038626049877403534,40,1.0,4.532544427858445,4.507184976707348
2024-10-29,-0.0023938792484756387,0.0,-0.0023938792484756387,40,1.0,4.521694063809801,4.496395320122567
2024-10-30,-0.002666354561426196,0.0,-0.002666354561426196,40,1.0,4.509637624217389,4.4844063359507835
2024-10-31,-0.01216449856025747,0.0,-0.01216449856025747,40,1.0,4.454780143830313,4.429855781533501
2024-11-01,-0.002422305593736609,1.7799746543491238e-05,-0.0024401053402801002,40,1.0,4.443989304969047,4.419046466784311
2024-11-04,0.0015556397418367647,0.0,0.0015556397418367647,40,1.0,4.4509025513441545,4.425920911089063
2024-11-05,0.010602181424694525,0.0,0.010602181424694525,40,1.0,4.4980918276971416,4.472845327559779
2024-11-06,0.016258212667183074,0.0,0.016258212667183074,40,1.0,4.57122276122836,4.545565798122662
2024-11-07,0.0025223901882193006,0.0,0.0025223901882193006,40,1.0,4.582753168669447,4.557031488691751
2024-11-08,0.007441141275421729,0.0,0.007441141275421729,40,1.0,4.616854082427903,4.590941003795653
2024-11-11,-0.0033953640553551767,0.0,-0.0033953640553551767,40,1.0,4.601178182027607,4.575353087731108
2024-11-12,-0.009392676918819612,0.0,-0.009392676918819612,40,1.0,4.5579608019179,4.532378274388527
2024-11-13,0.0011899266695289262,0.0,0.0011899266695289262,40,1.0,4.56338444103477,4.537771472173615
2024-11-14,-0.004124835484802034,0.0,-0.004124835484802034,40,1.0,4.544561230961596,4.519053911383271
2024-11-15,-0.009543636015301452,0.0,-0.009543636015301452,40,1.0,4.501189592724049,4.475925705719504
2024-11-18,0.003263095612781477,0.0,0.003263095612781477,40,1.0,4.515877404736364,4.490531079252974
2024-11-19,-0.00301684186296039,0.0,-0.00301684186296039,40,1.0,4.502253716733759,4.476983857106159
2024-11-20,0.0020249263831182028,0.0,0.0020249263831182028,40,1.0,4.511370449068266,4.486049419835208
2024-11-21,0.015635470241245945,0.0,0.015635470241245945,40,1.0,4.581907847471909,4.5561909120398
