asof,portfolio_id,event,side,symbol,shares,price,notional,commission,spread_bps_cost,theoretical_weight,theoretical_shares,nav,cash,theoretical_weights,final_weights
2008-04-01,traditional_60_40_ief,FILL,SELL,IEF,-4.285248750956612,58.61778488058926,251.1917894433885,1.0,0.12559589472169425,0.4,817.3770288957795,,,,
2008-04-01,traditional_60_40_ief,PARTIAL_FILL,BUY,SPY,2.6034731165637446,95.63789676022566,248.99069313994636,1.0,0.12449534656997319,0.6,751.472467545013,,,,
2008-04-01,traditional_60_40_ief,REBALANCE_SUMMARY,,,"{'SPY': 751.4488042412022, 'IEF': 817.3770288957795}",,,,,,,119779.8270241287,0.013017365582783214,"{'SPY': 0.6, 'IEF': 0.4}","{'IEF': 0.4000075140908021, 'SPY': 0.5999923772317527}"
2008-05-01,traditional_60_40_ief,FILL,SELL,SPY,-16.562239027124974,99.05223015928348,1640.5267120678502,1.0,0.8202633560339251,0.6,734.8865652140772,,,,
2008-05-01,traditional_60_40_ief,PARTIAL_FILL,BUY,IEF,28.533126202486137,57.36344519771393,1636.758421235769,1.0,0.8183792106178844,0.4,845.9760735274086,,,,
2008-05-01,traditional_60_40_ief,REBALANCE_SUMMARY,,,"{'SPY': 734.8865652140772, 'IEF': 845.9101550982657}",,,,,,,121316.61668835013,0.14266563101227803,"{'SPY': 0.6, 'IEF': 0.4}","{'IEF': 0.3999808282555639, 'SPY': 0.6000179957667761}"
2008-06-02,traditional_60_40_ief,FILL,SELL,SPY,-7.927265273439161,100.09015233094046,793.4411887863,1.0,0.39672059439315,0.6,726.9592999406381,,,,
2008-06-02,traditional_60_40_ief,PARTIAL_FILL,BUY,IEF,14.018498684593798,56.40558937728813,790.7216804892515,1.0,0.39536084024462576,0.4,859.9793965188127,,,,
2008-06-02,traditional_60_40_ief,REBALANCE_SUMMARY,,,"{'SPY': 726.9592999406381, 'IEF': 859.9286537828596}",,,,,,,121266.31970098586,0.07009249342297608,"{'SPY': 0.6, 'IEF': 0.4}","{'IEF': 0.39998560736931327, 'SPY': 0.6000138146260636}"
2008-07-01,traditional_60_40_ief,FILL,SELL,IEF,-51.015583466667636,56.92318345145343,2903.9694165560563,1.0,1.4519847082780282,0.4,808.9130703161919,,,,
2008-07-01,traditional_60_40_ief,PARTIAL_FILL,BUY,SPY,31.851360690860346,91.01585349163832,2898.9787781486734,1.0,1.4494893890743368,0.6,758.8662633721931,,,,
2008-07-01,traditional_60_40_ief,REBALANCE_SUMMARY,,,"{'SPY': 758.8106606314984, 'IEF': 808.9130703161919}",,,,,,,115109.86627062024,0.15925680345389992,"{'SPY': 0.6, 'IEF': 0.4}","{'IEF': 0.400017032333565, 'SPY': 0.5999815841464239}"
2008-08-01,traditional_60_40_ief,FILL,SELL,SPY,-1.3305193401306497,91.44749276867431,121.6726577351789,1.0,0.060836328867589454,0.6,757.4801412913678,,,,
2008-08-01,traditional_60_40_ief,PARTIAL_FILL,BUY,IEF,2.1022970495898186,56.938060389557705,119.70071636633408,1.0,0.05985035818316704,0.4,811.052797481204,,,,
2008-08-01,traditional_60_40_ief,REBALANCE_SUMMARY,,,"{'SPY': 757.4801412913678, 'IEF': 811.0153673657817}",,,,,,,115447.3122185742,0.010511485247960195,"{'SPY': 0.6, 'IEF': 0.4}","{'IEF': 0.3999888873679879, 'SPY': 0.6000110215819475}"
2008-09-02,traditional_60_40_ief,FILL,SELL,SPY,-1.8839881235714984,93.5408910838648,176.22992787029636,1.0,0.08811496393514819,0.6,755.5961531677963,,,,
2008-09-02,traditional_60_40_ief,PARTIAL_FILL,BUY,IEF,3.0069847296893477,57.881991423938494,174.05026433579283,1.0,0.08702513216789641,0.4,814.0601907213695,,,,
2008-09-02,traditional_60_40_ief,REBALANCE_SUMMARY,,,"{'SPY': 755.5961531677963, 'IEF': 814.022352095471}",,,,,,,117796.38730466401,0.015034923648443055,"{'SPY': 0.6, 'IEF': 0.4}","{'IEF': 0.3999887932133445, 'SPY': 0.6000110791518103}"
2008-10-01,traditional_60_40_ief,FILL,SELL,IEF,-55.62402790161741,58.24439273617458,3239.7877266697374,1.0,1.6198938633348687,0.4,758.3983241938536,,,,
2008-10-01,traditional_60_40_ief,PARTIAL_FILL,BUY,SPY,38.78011138685386,83.40284918260707,3234.3717812824757,1.0,1.617185890641238,0.6,794.4413819980485,,,,
2008-10-01,traditional_60_40_ief,REBALANCE_SUMMARY,,,"{'SPY': 794.3762645546501, 'IEF': 758.3983241938536}",,,,,,,110425.88753225464,0.19390055693384056,"{'SPY': 0.6, 'IEF': 0.4}","{'IEF': 0.4000189704782856, 'SPY': 0.5999792735878363}"
2008-11-03,traditional_60_40_ief,FILL,SELL,IEF,-68.16249206861949,57.51293759894586,3920.2251529311548,1.0,1.9601125764655776,0.4,690.2358321252341,,,,
2008-11-03,traditional_60_40_ief,PARTIAL_FILL,BUY,SPY,55.89788194206411,70.02451979108403,3914.222340331747,1.0,1.9571111701658734,0.6,850.36263997264,,,,
